trace,round_start_tsc,round_done_tsc,rest_start_tsc,trace_done_tsc,first_round_cycles,attacker_measurement_window_cycles,rest_aes_cycles,trace_wall_cycles
84,234987227195173,234987227196359,234987227257049,234987227257717,1186,60690,668,62544
85,234987227342969,234987227345119,234987227408849,234987227409505,2150,63730,656,66536
86,234987227512739,234987227513887,234987227578469,234987227579131,1148,64582,662,66392
87,234987227665985,234987227667607,234987227732479,234987227733125,1622,64872,646,67140
88,234987227819395,234987227820577,234987227883187,234987227883851,1182,62610,664,64456
89,234987227970415,234987227972095,234987228034495,234987228035177,1680,62400,682,64762
90,234987228121055,234987228123331,234987228185971,234987228186673,2276,62640,702,65618
91,234987228273107,234987228274267,234987228337171,234987228337819,1160,62904,648,64712
92,234987228431891,234987228433055,234987228495539,234987228496219,1164,62484,680,64328
93,234987228582553,234987228584719,234987228645685,234987228646337,2166,60966,652,63784
94,234987228732607,234987228734779,234987228797033,234987228797699,2172,62254,666,65092
95,234987228883525,234987228884683,234987228947255,234987228947921,1158,62572,666,64396
96,234987229034303,234987229035479,234987229095971,234987229096573,1176,60492,602,62270
97,234987229189469,234987229190623,234987229252081,234987229252739,1154,61458,658,63270
98,234987229338949,234987229340095,234987229404041,234987229404749,1146,63946,708,65800
99,234987229491295,234987229493437,234987229555111,234987229555783,2142,61674,672,64488
100,234987229641799,234987229642963,234987229707551,234987229708219,1164,64588,668,66420
101,234987229808051,234987229809209,234987229870841,234987229871537,1158,61632,696,63486
102,234987229957877,234987229959067,234987230020105,234987230020775,1190,61038,670,62898
103,234987230107027,234987230109187,234987230171437,234987230172121,2160,62250,684,65094
104,234987230258119,234987230259311,234987230322781,234987230323439,1192,63470,658,65320
105,234987230410133,234987230411281,234987230474183,234987230474857,1148,62902,674,64724
106,234987230561381,234987230562515,234987230624699,234987230625361,1134,62184,662,63980
107,234987230711965,234987230713139,234987230775797,234987230776459,1174,62658,662,64494
108,234987230870947,234987230872123,234987230932559,234987230933231,1176,60436,672,62284
109,234987231018941,234987231020119,234987231081455,234987231082145,1178,61336,690,63204
110,234987231168487,234987231169633,234987231232213,234987231232879,1146,62580,666,64392
111,234987231319043,234987231320185,234987231382819,234987231383533,1142,62634,714,64490
112,234987231469537,234987231470723,234987231532901,234987231533609,1186,62178,708,64072
113,234987231619865,234987231621995,234987231684641,234987231685297,2130,62646,656,65432
114,234987231771599,234987231772763,234987231834545,234987231835211,1164,61782,666,63612
115,234987231921157,234987231922313,234987231985199,234987231985837,1156,62886,638,64680
116,234987232071287,234987232072483,234987232133827,234987232134503,1196,61344,676,63216
117,234987232220611,234987232221761,234987232285007,234987232285675,1150,63246,668,65064
118,234987232371979,234987232373185,234987232434653,234987232435325,1206,61468,672,63346
119,234987232530017,234987232532185,234987232594921,234987232595599,2168,62736,678,65582
120,234987232682731,234987232684877,234987232746169,234987232746833,2146,61292,664,64102
121,234987232842755,234987232843975,234987232906129,234987232906823,1220,62154,694,64068
122,234987232995181,234987232997381,234987233058041,234987233058743,2200,60660,702,63562
123,234987233147507,234987233148691,234987233211101,234987233211757,1184,62410,656,64250
124,234987233300365,234987233302583,234987233365625,234987233366305,2218,63042,680,65940
125,234987233454911,234987233456107,234987233519645,234987233520289,1196,63538,644,65378
126,234987233612495,234987233613709,234987233677781,234987233678467,1214,64072,686,65972
127,234987233770727,234987233771911,234987233837351,234987233838017,1184,65440,666,67290
128,234987233930641,234987233932363,234987233995775,234987233996441,1722,63412,666,65800
129,234987234089245,234987234090521,234987234153949,234987234154609,1276,63428,660,65364
130,234987234255571,234987234256777,234987234323527,234987234324211,1206,66750,684,68640
131,234987234421425,234987234423635,234987234488461,234987234489145,2210,64826,684,67720
