index,hit_ticks,miss_ticks
455,100,1100
456,98,1092
457,98,1098
458,98,1098
459,98,1632
460,100,1096
461,100,1098
462,98,1104
463,98,1094
464,98,1096
465,98,1098
466,100,1096
467,98,1092
468,100,1096
469,102,1106
470,100,1100
471,98,1092
472,100,1090
473,100,1098
474,102,1090
475,100,1042
476,100,1104
477,100,1092
478,100,1632
479,96,1092
480,98,1102
481,100,1104
482,100,1098
483,102,1104
484,98,1098
485,100,1094
486,100,1092
487,98,1106
488,100,1094
489,100,1092
490,100,1094
491,100,1098
492,100,1092
493,96,1098
494,102,1098
495,100,1086
496,100,1092
497,100,1622
498,98,1098
499,100,1098
500,100,1094
501,98,1098
502,100,1092
503,98,1092
504,100,1092
505,98,1094
506,98,1100
507,98,1098
508,100,1092
509,98,1104
510,100,1086
511,100,1098
512,106,1094
513,96,1096
514,98,1098
515,98,1096
516,100,1590
517,98,1094
518,100,1098
519,100,1098
520,98,1100
521,100,1092
522,100,1092
523,98,1098
524,98,1092
525,100,1098
526,100,1100
527,100,1090
528,100,1098
529,96,1092
530,98,1090
531,98,1088
532,96,1092
533,98,1094
534,98,1092
535,98,1632
536,98,1096
537,100,1098
538,100,1092
539,100,1088
540,102,1092
541,100,1106
542,100,1094
543,100,1096
544,98,1104
545,100,1098
546,98,1094
547,100,1104
548,100,1102
549,98,1098
550,100,1094
551,100,1092
552,98,1098
553,100,1102
554,98,1600
555,100,1102
556,98,1098
557,100,1092
558,100,1098
559,98,1100
560,98,1104
561,96,1098
562,100,1104
563,98,1092
564,98,1088
565,98,1094
566,96,1100
567,102,1092
568,98,1092
569,98,1096
570,98,1092
571,100,1090
572,98,1100
573,98,1634
574,102,1092
575,100,1098
576,100,1094
577,98,1098
578,100,1098
579,98,1104
580,100,1096
581,98,1098
582,100,1088
583,100,1102
584,98,1098
585,96,1092
586,100,1102
587,100,1092
588,100,1094
589,100,1104
590,98,1096
591,98,1094
592,98,1578
593,100,1094
594,100,1098
595,98,1096
596,100,1098
597,102,1100
598,98,1094
599,98,1092
600,100,1096
601,100,1092
602,98,1096
603,98,1096
604,98,1094
605,98,1100
606,100,1104
607,104,1090
608,104,1094
609,100,1098
610,100,1094
611,100,1634
612,98,1098
613,98,1098
614,98,1094
615,100,1102
616,96,1096
617,100,1106
618,104,1092
619,96,1098
620,98,1094
621,100,1088
622,100,1102
623,96,1098
624,96,1104
625,98,1092
626,104,1098
627,100,1098
628,100,1094
629,100,1092
630,100,1590
631,98,1094
632,98,1088
633,98,1094
634,100,1092
635,96,1086
636,102,1096
637,98,1098
638,98,1092
639,102,1092
640,100,1092
641,98,1096
642,98,1092
643,98,1098
644,96,1092
645,98,1100
646,98,1086
647,98,1096
648,98,1090
649,100,1618
650,98,1092
651,100,1098
652,102,1104
653,96,1094
654,102,1096
655,100,1104
656,98,1096
657,98,1090
658,100,1096
659,100,1098
660,98,1092
661,100,1094
662,98,1100
663,100,1092
664,98,1084
665,100,1098
666,98,1096
667,100,1092
668,98,1578
669,100,1100
670,98,1092
671,98,1092
672,100,1092
673,98,1094
674,100,1096
675,98,1092
676,100,1094
677,100,1102
678,98,1104
679,98,1092
680,98,1096
681,98,1094
682,98,1104
683,102,1088
684,100,1108
685,98,1096
686,100,1100
687,100,1566
688,100,1104
689,100,1092
690,100,1092
691,98,1098
692,102,1090
693,98,1100
694,104,1098
695,100,1090
696,100,1098
697,100,1094
698,98,1104
699,98,1094
700,100,1108
701,100,1094
702,100,1088
703,98,1102
704,98,1104
705,98,1094
706,100,1616
707,100,1092
708,100,1098
709,96,1104
710,100,1088
711,104,1092
712,98,1092
713,98,1096
714,100,1096
715,100,1100
716,98,1098
717,98,1096
718,100,1096
719,100,1096
720,100,1094
721,100,1100
722,96,1098
723,100,1088
724,98,1096
725,100,1566
726,100,1096
727,100,1106
728,98,1090
729,100,1096
730,102,1104
731,100,1104
732,100,1086
733,100,1096
734,102,1090
735,98,1110
736,100,1092
737,98,1108
738,100,1104
739,100,1092
740,100,1098
741,100,1096
742,100,1098
743,98,1102
744,100,1596
745,100,1100
746,102,1090
747,102,1104
748,98,1100
749,94,1090
750,106,1090
751,100,1092
752,100,1092
753,100,984
754,100,1096
755,98,1092
756,98,1098
757,100,1096
758,98,1098
759,98,1098
760,100,1088
761,98,1096
762,100,1100
763,100,1092
764,100,1512
765,100,1102
766,100,1104
767,98,1092
768,100,1092
769,98,1098
770,100,1108
771,98,1092
772,98,1094
773,98,1110
774,100,1092
775,98,1098
776,98,1096
777,98,1108
778,98,1092
779,98,1100
780,100,1106
781,100,1098
782,100,1098
783,96,1632
784,98,1098
785,100,1096
786,100,1092
787,98,1098
788,100,1098
789,100,1092
790,98,1094
791,98,1098
792,100,1098
793,100,1098
794,96,1102
795,100,1100
796,98,1086
797,100,1094
798,100,1094
799,100,1098
800,98,1096
801,104,1104
802,100,1566
803,98,1100
804,102,1094
805,98,1098
806,98,1094
807,100,1090
808,98,1104
809,98,1092
810,102,1102
811,100,1092
812,98,1092
813,98,1092
814,98,1086
815,104,1094
816,100,1098
817,100,1104
818,100,1094
819,104,1102
820,102,1094
821,100,1634
822,98,1090
823,100,1100
824,102,1104
825,100,1094
826,100,1100
827,100,1094
828,100,1104
829,98,1092
830,98,1100
831,94,1102
832,98,1090
833,100,1092
834,100,1100
835,98,1090
836,98,1104
837,100,1096
838,100,1096
839,100,1092
840,98,1634
841,102,1098
842,98,1092
843,100,1096
844,106,1098
845,100,1098
846,98,1088
847,100,1098
848,98,1090
849,100,1100
850,100,1088
851,98,1102
852,98,1092
853,92,1098
854,102,1092
855,100,1102
856,100,1092
857,100,1098
858,100,1104
859,98,1640
860,98,1090
861,100,1098
862,98,1098
863,98,1098
864,100,1090
865,100,1092
866,98,1094
867,98,1104
868,98,1096
869,100,1102
870,100,1096
871,98,1094
872,100,1094
873,98,1094
874,98,1092
875,98,1100
876,98,1092
877,98,1104
878,98,1560
879,100,1090
880,100,1096
881,100,1092
882,100,1092
883,98,1092
884,100,1092
885,96,1094
886,102,1094
887,100,1098
888,96,1100
889,98,1086
890,104,1092
891,100,1098
892,98,1088
893,100,1088
894,100,1102
895,92,1088
896,100,1092
897,100,1094
898,100,1522
899,94,1092
900,98,1100
901,98,1098
902,98,1098
903,100,1096
904,102,1094
905,98,1104
906,98,1092
907,98,1094
908,100,1098
909,98,1102
910,100,1092
911,98,1098
912,98,1098
913,98,1106
914,98,1102
915,100,1090
916,100,1096
917,100,1560
918,98,1092
919,98,1092
920,102,1092
921,98,1092
922,100,1100
923,98,1102
924,100,1088
925,98,1096
926,98,1092
927,100,1102
928,100,1088
929,98,1092
930,100,1098
931,94,1098
932,98,1090
933,98,1096
934,100,1102
935,98,1098
936,100,1632
937,100,1104
938,98,1048
939,98,1094
940,98,1090
941,98,1100
942,100,1104
943,100,1098
944,98,1100
945,100,1098
946,98,1098
947,98,1092
948,100,1094
949,100,1096
950,100,1094
951,102,1092
952,100,1094
953,100,1098
954,96,1106
955,98,1618
956,98,1096
957,98,1094
958,100,1100
959,100,1096
960,96,1092
961,100,1092
962,96,1110
963,100,1100
964,98,1092
965,104,1098
966,100,1092
967,98,1098
968,100,1086
969,100,1094
970,100,1098
971,100,1096
972,98,1098
973,100,1104
974,98,1596
975,100,1094
976,98,1098
977,100,1106
978,98,1092
979,98,1092
980,98,1092
981,98,1094
982,100,1088
983,98,978
984,100,970
985,100,1614
986,102,1140
987,96,978
988,100,1380
989,98,1104
990,100,1098
991,98,1102
992,100,1092
993,98,1096
994,100,1096
995,100,1100
996,100,1094
997,96,1100
998,102,1104
999,100,1092
1000,100,1092
1001,98,1104
1002,98,1094
1003,100,1106
1004,102,1094
1005,98,1632
1006,100,1100
1007,98,1088
1008,98,1092
1009,100,1104
1010,102,1094
1011,98,1092
1012,100,1110
1013,98,1104
1014,98,1094
1015,98,1098
1016,104,1098
1017,98,1102
1018,98,1094
1019,98,1106
1020,98,1098
1021,102,1090
1022,98,1094
1023,98,1094
1024,98,1642
1025,100,1092
1026,100,1104
1027,98,1098
1028,96,1096
1029,98,1092
1030,98,1098
1031,102,1094
1032,100,1104
1033,100,1102
1034,102,1094
1035,100,1094
1036,98,1092
1037,98,1098
1038,100,1096
1039,98,1092
1040,98,1094
1041,100,1110
1042,98,1098
1043,100,1602
1044,100,1096
1045,100,1104
1046,102,1098
1047,100,1100
1048,98,1098
1049,100,1104
1050,100,1096
1051,98,1094
1052,102,1098
1053,98,1098
1054,100,1098
1055,98,1104
1056,98,1096
1057,98,1098
1058,98,1094
1059,98,1098
1060,98,1098
1061,98,1092
1062,96,1612
1063,98,1090
1064,102,1088
1065,98,1098
1066,104,1094
1067,102,1092
1068,98,1096
1069,104,1102
1070,102,1104
1071,98,1098
1072,98,1104
1073,100,1096
1074,102,1096
1075,96,1092
1076,100,1094
1077,100,1102
1078,98,1092
1079,102,1088
1080,98,1096
1081,100,1604
1082,98,1098
1083,100,1094
1084,98,1096
1085,98,1098
1086,100,1096
1087,98,1096
1088,98,1104
1089,102,1096
1090,100,1096
1091,102,1104
1092,96,1094
1093,100,1094
1094,98,1094
1095,100,1098
1096,100,1092
1097,100,1094
1098,98,1090
1099,98,1094
1100,102,1624
1101,98,1104
1102,98,1096
1103,100,1098
1104,98,1094
1105,102,1092
1106,102,1104
1107,100,1104
1108,100,1098
1109,98,1096
1110,98,1098
1111,100,1102
1112,102,1100
1113,98,1098
1114,100,1094
1115,98,1094
1116,100,1088
1117,100,1100
1118,102,1094
1119,96,1578
1120,100,1102
1121,100,1092
1122,100,1088
1123,100,1046
1124,102,1094
1125,100,1092
1126,100,1096
1127,102,1092
1128,96,1096
1129,102,1098
1130,98,1100
1131,98,1104
1132,98,1098
1133,100,1098
1134,100,1096
1135,98,1092
1136,102,1094
1137,98,1094
1138,100,1632
1139,102,1092
1140,98,1096
1141,102,1088
1142,102,1108
1143,100,1102
1144,96,1096
1145,98,1098
1146,100,1098
1147,100,1098
1148,102,1098
1149,98,1096
1150,102,1092
1151,102,1094
1152,104,1100
1153,98,1094
1154,98,1092
1155,98,1098
1156,100,1106
1157,100,1614
1158,100,1086
1159,102,1092
1160,100,1092
1161,100,1092
1162,100,1632
1163,100,1102
1164,98,1092
1165,100,1098
1166,98,1094
1167,100,1088
1168,102,1038
1169,98,1038
1170,98,1096
1171,100,1106
1172,102,1094
1173,100,1100
1174,100,1094
1175,98,1104
1176,102,1098
1177,98,1098
1178,98,1102
1179,102,1092
1180,98,1098
1181,100,1102
1182,102,1516
1183,98,1088
1184,100,1092
1185,102,1094
1186,100,1092
1187,98,1092
1188,102,1094
1189,96,1098
1190,102,1104
1191,102,1094
1192,96,1102
1193,100,1102
1194,102,1092
1195,100,1094
1196,100,1104
1197,100,1096
1198,100,1100
1199,98,1096
1200,100,1094
1201,100,1600
1202,100,1098
1203,100,1092
1204,98,1102
1205,100,1094
1206,102,1104
1207,100,1098
1208,102,1092
1209,102,1092
1210,98,1098
1211,100,1092
1212,100,1098
1213,96,1098
1214,98,1096
1215,102,1086
1216,100,1094
1217,98,1100
1218,100,1092
1219,98,1092
1220,102,1632
1221,98,1096
1222,100,1092
1223,100,1106
1224,98,1100
1225,102,1092
1226,100,1092
1227,102,1094
1228,100,1092
1229,100,1094
1230,102,1090
1231,98,1098
1232,102,1092
1233,100,1094
1234,102,1092
1235,98,1096
1236,100,1094
1237,98,1094
1238,100,1098
1239,102,1622
1240,100,1098
1241,100,1092
1242,98,1096
1243,98,1094
1244,100,1092
1245,102,1098
1246,100,1106
1247,98,1092
1248,98,1104
1249,100,1100
1250,98,1098
1251,102,1092
1252,100,1094
1253,100,1090
1254,100,1098
1255,100,1096
1256,102,1090
1257,102,1092
1258,100,1632
1259,98,1088
1260,98,1096
1261,98,1092
1262,98,1092
1263,98,1094
1264,100,1096
1265,98,1092
1266,98,1106
1267,98,1098
1268,102,1092
1269,98,1092
1270,104,1100
1271,100,1098
1272,100,1090
1273,98,1092
1274,100,1100
1275,100,1092
1276,98,1088
1277,100,1626
1278,102,1092
1279,98,1092
1280,102,1092
1281,102,1100
1282,98,1092
1283,98,1104
1284,102,1098
1285,98,1094
1286,98,1094
1287,96,1098
1288,98,1100
1289,96,1098
1290,98,1104
1291,98,1102
1292,102,1088
1293,98,1094
1294,100,1092
1295,98,1100
1296,98,1620
1297,98,1092
1298,100,1094
1299,100,1088
1300,100,1096
1301,100,1096
1302,102,1098
1303,100,1098
1304,102,1100
1305,102,1094
1306,100,1100
1307,98,1098
1308,98,1086
1309,98,1092
1310,100,1094
1311,100,1092
1312,98,1102
1313,98,1104
1314,100,1110
1315,98,1576
1316,102,1092
1317,102,1092
1318,100,1098
1319,98,1092
1320,100,1096
1321,98,1104
1322,100,1090
1323,98,1096
1324,98,1094
1325,98,1094
1326,100,1098
1327,100,1094
1328,98,1094
1329,102,1092
1330,98,1108
1331,98,1098
1332,98,1086
1333,98,1092
1334,100,1602
1335,102,1098
1336,100,1092
1337,100,1102
1338,100,1098
1339,96,1100
1340,104,1098
1341,102,1098
1342,102,1106
1343,100,1098
1344,100,1090
1345,96,1092
1346,98,1094
1347,100,1088
1348,98,1098
1349,98,1102
1350,102,1096
1351,100,1098
1352,102,1100
1353,100,1662
1354,100,1052
1355,98,1094
1356,100,1092
1357,100,1094
1358,98,1090
1359,102,1092
1360,98,1098
1361,100,1096
1362,100,1096
1363,98,1100
1364,102,1088
1365,102,1094
1366,98,1094
1367,98,1094
1368,92,1104
1369,100,1092
1370,102,1100
1371,98,1098
1372,98,1632
1373,98,1092
1374,102,1092
1375,98,1104
1376,102,1098
1377,102,1092
1378,100,1098
1379,98,1092
1380,98,1094
1381,98,1102
1382,100,1090
1383,102,1090
1384,100,1100
1385,100,1092
1386,98,1098
1387,100,1092
1388,102,1098
1389,98,1428
1390,100,1098
1391,98,1094
1392,98,1108
1393,100,1094
1394,100,1092
1395,102,1096
1396,100,1098
1397,98,1104
1398,102,1094
1399,96,1100
1400,98,1102
1401,98,1094
1402,98,1106
1403,102,1094
1404,100,1104
1405,100,1092
1406,98,1098
1407,102,1104
1408,100,1612
1409,98,1098
1410,102,1092
1411,100,1104
1412,102,1096
1413,102,1104
1414,98,1098
1415,102,1092
1416,100,1102
1417,100,1098
1418,98,1102
1419,102,1098
1420,102,1108
1421,98,1094
1422,100,1092
1423,100,1094
1424,100,1096
1425,102,1094
1426,100,1104
1427,96,1560
1428,98,1104
1429,100,1092
1430,98,1098
1431,102,1094
1432,98,1092
1433,98,1090
1434,100,1092
1435,98,1094
1436,98,1090
1437,102,1092
1438,100,1096
1439,96,1106
